
2023/08/03 (19:08:24) | ===> btop++ v.1.2.13
2023/08/03 (19:08:24) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (19:14:13) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (19:20:25) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (19:43:50) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (19:46:59) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (21:09:00) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (21:19:13) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (21:38:36) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (21:44:36) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (22:15:09) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (22:23:22) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (23:05:04) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (23:21:28) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (23:33:44) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (23:39:22) | ERROR: Stall in Runner thread, restarting!
2023/08/03 (23:39:55) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (00:09:26) | ERROR: Stall in Runner thread, restarting!

2023/08/04 (18:23:32) | ===> btop++ v.1.2.13
2023/08/04 (18:23:32) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (18:29:39) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (18:49:12) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (18:52:23) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (18:58:39) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (18:59:47) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:11:09) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:13:19) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:20:39) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:20:49) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:20:59) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:21:19) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:28:35) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:41:59) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:43:06) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (19:59:36) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:16:04) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:18:13) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:29:36) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:01) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:07) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:13) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:19) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:25) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:31) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:37) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:43) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:49) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:43:55) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:01) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:07) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:13) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:19) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:25) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:31) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:37) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:44:43) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (20:58:05) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (21:09:28) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (21:35:00) | ERROR: Stall in Runner thread, restarting!
2023/08/04 (21:39:12) | ERROR: Stall in Runner thread, restarting!

2023/09/06 (10:54:37) | ===> btop++ v.1.2.13
2023/09/06 (10:54:37) | INFO: Logger set to INFO

2024/02/05 (23:02:57) | ===> btop++ v.1.3.0
2024/02/05 (23:02:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
